steps,grad_similarity
1191,0.130359694
1192,0.16440767
1193,0.77843523
1194,0.483798653
1195,-0.316111833
1196,0.5918805
1197,0.58397001
1198,-0.682257771
1199,0.413250744
1200,-0.092858709
1201,-0.143137351
1202,0.064268492
1203,0.334854007
1204,-0.175214812
1205,-0.143344522
1206,-0.038128145
1207,-0.269026905
1208,0.538977623
1209,-0.430948526
1210,-0.040442064
1211,0.316149592
1212,0.141188085
1213,0.201786205
1214,-0.16313991
1215,-0.235556304
1216,-0.600807786
1217,0.435455024
1218,-0.091513321
1219,-0.163519114
1220,0.488550305
1221,0.294870079
1222,0.585907996
1223,-0.489002496
1224,0.189653441
1225,0.587674737
1226,-0.238719672
1227,-0.570200324
1228,-0.314974934
1229,0.124355473
1230,0.665892065
1231,-0.451446235
1232,0.462171137
1233,-0.08184731
1234,-0.314655513
1235,-0.145850465
1236,0.34505102
1237,-0.028746232
1238,-0.250448704
1239,-0.26941666
1240,0.119930692
1241,-0.715515494
1242,-0.492573857
1243,-0.481757224
1244,0.598785996
1245,-0.510102093
1246,-0.459074885
1247,-0.492492676
1248,-0.619785845
1249,-0.537340939
1250,
1251,
1252,-0.400394529
1253,-0.10881795
1254,-0.249359965
1255,-0.207180381
1256,-0.579916954
1257,0.347026318
1258,0.640728414
1259,0.208909482
1260,0.211202294
1261,-0.051598828
1262,0.665935874
1263,0.100092225
1264,-0.048116222
1265,-0.143093765
1266,-0.540668964
1267,-0.33779797
1268,-0.274543971
1269,0.112658165
1270,0.622942984
1271,-0.182593763
1272,-0.220325887
1273,0.465515375
1274,0.576529264
1275,0.415445298
1276,-0.201708123
1277,-0.64543891
1278,-0.619724333
1279,0.20597598
1280,-0.425994873
1281,-0.471576393
1282,-0.406962484
1283,0.457392603
1284,0.397700876
1285,-0.407286823
1286,0.37523064
1287,-0.450436234
1288,-0.599723101
1289,-0.440252781
1290,0.198550299
1291,-0.04203292
1292,-0.494234204
1293,-0.174446583
1294,0.290213674
1295,0.440292537
1296,0.236513615
1297,-0.299067557
1298,-0.287764966
1299,0.248293355
1300,-0.090144254
1301,-0.357947499
1302,-0.661431313
1303,-0.596846938
1304,-0.434745073
1305,-0.473590344
1306,-0.546188772
1307,-0.554877877
1308,0.506123722
1309,0.759063244
1310,0.580417991
1311,0.505020678
1312,0.462692916
1313,0.432469308
1314,-0.078748941
1315,0.360880435
1316,0.396854579
1317,0.699834168
1318,0.711207151
1319,0.509909034
1320,0.549890876
1321,0.684251726
1322,0.344796419
1323,0.242143258
1324,-0.308804035
1325,-0.636821091
1326,-0.658726573
1327,0.329258412
1328,-0.245486364
1329,-0.118187547
1330,-0.260094464
1331,-0.021434583
1332,-0.537719846
1333,-0.675137103
1334,-0.480488777
1335,0.362192571
1336,0.535523355
1337,-0.354876786
1338,-0.755043507
1339,-0.607922554
1340,-0.591616035
1341,-0.453522563
1342,0.594555974
1343,-0.37447381
1344,0.25216943
1345,-0.106036656
1346,-0.704529881
1347,-0.082909957
1348,0.368305206
1349,0.214697033
1350,-0.290997505
1351,-0.024959095
1352,0.069054455
